  
       XFOIL         Version 6.94
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
  
  alpha     CL        CD       CDp       CM    Top_Xtr Bot_Xtr
 ------- -------- --------- --------- -------- ------- -------
   0.000   0.2434   0.00534   0.00072  -0.0529  0.4770  0.3109
   0.455   0.2950   0.00527   0.00073  -0.0530  0.4558  0.3643
   0.909   0.3465   0.00518   0.00076  -0.0532  0.4356  0.4317
   1.364   0.3976   0.00509   0.00081  -0.0533  0.4142  0.5128
   1.818   0.4486   0.00508   0.00088  -0.0533  0.3882  0.5825
   2.273   0.4994   0.00509   0.00097  -0.0533  0.3611  0.6505
   2.727   0.5497   0.00517   0.00109  -0.0532  0.3286  0.7153
   3.182   0.5993   0.00529   0.00124  -0.0530  0.2922  0.7841
   3.636   0.6481   0.00545   0.00143  -0.0526  0.2548  0.8509
   4.091   0.6956   0.00568   0.00166  -0.0519  0.2161  0.9100
   4.545   0.7410   0.00599   0.00191  -0.0507  0.1771  0.9558
   5.000   0.7884   0.00638   0.00216  -0.0500  0.1417  0.9823
