  
       XFOIL         Version 6.94
  
 Calculated polar for: P-51D TIP (BL215) AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
  alpha     CL        CD       CDp       CM    Top_Xtr Bot_Xtr
 ------- -------- --------- --------- -------- ------- -------
   0.000   0.1385   0.00863   0.00133  -0.0312  0.0410  0.0320
   0.492   0.1933   0.00863   0.00137  -0.0318  0.0445  0.0372
   0.984   0.2493   0.00845   0.00136  -0.0326  0.0831  0.0425
   1.475   0.3044   0.00842   0.00141  -0.0333  0.1008  0.0490
   2.459   0.4121   0.00631   0.00129  -0.0350  0.1766  0.6687
   2.951   0.4677   0.00638   0.00141  -0.0357  0.1800  0.6767
   3.443   0.5175   0.00712   0.00177  -0.0357  0.0861  0.6793
   3.934   0.5678   0.00779   0.00224  -0.0355  0.0403  0.6820
   4.426   0.6198   0.00818   0.00253  -0.0357  0.0214  0.6821
   4.918   0.6711   0.00858   0.00286  -0.0357  0.0147  0.6823
   5.410   0.7224   0.00896   0.00320  -0.0357  0.0086  0.6824
