  
       XFOIL         Version 6.94
  
 Calculated polar for: P-51D TIP (BL215) AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
  
  alpha     CL        CD       CDp       CM    Top_Xtr Bot_Xtr
 ------- -------- --------- --------- -------- ------- -------
   0.000   0.1397   0.00794   0.00121  -0.0314  0.0323  0.0250
   0.492   0.1946   0.00797   0.00126  -0.0321  0.0350  0.0294
   0.984   0.2497   0.00798   0.00129  -0.0327  0.0393  0.0336
   1.475   0.3048   0.00798   0.00133  -0.0335  0.0445  0.0386
   2.459   0.4163   0.00773   0.00138  -0.0350  0.0863  0.0872
   2.951   0.4694   0.00700   0.00141  -0.0359  0.0941  0.4239
   3.443   0.5188   0.00673   0.00167  -0.0360  0.0432  0.6744
   3.934   0.5719   0.00706   0.00190  -0.0363  0.0245  0.6790
   4.426   0.6247   0.00740   0.00218  -0.0366  0.0166  0.6814
   4.918   0.6772   0.00774   0.00245  -0.0368  0.0103  0.6815
   5.410   0.7300   0.00801   0.00270  -0.0371  0.0056  0.6817
